日期,Ticker,Company,則數,最高Level
2026-08-03 00:00:00,AAPL,Apple Inc.,1,1
2026-08-03 00:00:00,TSCO,Tractor Supply,1,3
2026-08-03 00:00:00,TRV,Travelers Companies (The),1,1
2026-08-03 00:00:00,TGT,Target Corporation,1,1
2026-08-03 00:00:00,REGN,Regeneron Pharmaceuticals,1,4
2026-08-03 00:00:00,NTAP,NetApp,1,1
2026-08-03 00:00:00,HSIC,Henry Schein,1,3
2026-08-03 00:00:00,HBAN,Huntington Bancshares,1,2
2026-08-03 00:00:00,V,Visa Inc.,1,3
2026-08-03 00:00:00,HAS,Hasbro,1,2
2026-08-03 00:00:00,FAST,Fastenal,1,1
2026-08-03 00:00:00,ETR,Entergy,1,4
2026-08-03 00:00:00,EIX,Edison International,3,1
2026-08-03 00:00:00,CMG,Chipotle Mexican Grill,1,3
2026-08-03 00:00:00,CIEN,Ciena,1,1
2026-08-03 00:00:00,AMZN,Amazon,1,2
2026-08-03 00:00:00,AIG,American International Group,8,3
2026-08-03 00:00:00,FDX,FedEx,1,3
2026-08-03 00:00:00,XOM,ExxonMobil,1,3
